Model,Developer,Release date,Android version at release,Ref.
Huawei Ascend P1,Huawei,2012/07,"Android 4.0 ""Ice Cream Sandwich""",[201]
Huawei Ascend Mate,Huawei,2013/03,"Android 4.1 ""Jelly Bean""",[202]
Huawei Ascend P2,Huawei,2013/04,"Android 4.1 ""Jelly Bean""",[203]
Huawei Ascend P6,Huawei,2013/06,"Android 4.1 ""Jelly Bean""",[204]
Huawei Ascend Mate 2 4G,Huawei,2014/01,"Android 4.1 ""Jelly Bean""",[205]
Huawei Ascend P7,Huawei,2014/06,"Android 4.4 ""KitKat""",[206]
Huawei Ascend Mate 7,Huawei,2014/10,"Android 4.4 ""KitKat""",[207]
Huawei P8,Huawei,2015/04,"Android 4.4 ""KitKat""",[208]
Huawei Mate S,Huawei,2015/10,"Android 5.0 ""Lollipop""",[209]
Huawei Mate 8,Huawei,2015/11,"Android 6.0 ""Marshmallow""",[210]
Huawei P9,Huawei,2016/04,"Android 6.0 ""Marshmallow""",[211]
Huawei Mate 9,Huawei,2016/12,"Android 7.0 ""Nougat""",[212]
Huawei P10,Huawei,2017/02,"Android 7.0 ""Nougat""",[213]
Huawei Mate 10,Huawei,2017/11,"Android 8.0 ""Oreo""",[213]
Huawei P20,Huawei,2018/03,"Android 8.0 ""Oreo""",[213]
Huawei Mate 20,Huawei,2018/11,"Android 9.0 ""Pie""",[214]
Huawei P30,Huawei,2019/03,"Android 9.0 ""Pie""",[215]
Huawei Mate 30,Huawei,2019/09,Android 10,[216]
Huawei P40,Huawei,2020/04,Android 10,[217]

Model,Developer,Release date,Android version at release,Ref.
Lenovo Vibe Z,Lenovo,2013/11,"Android 4.1 ""Jelly Bean""",[218]
Lenovo A526,Lenovo,2014/06,"Android 4.1 ""Jelly Bean""",[219]
Lenovo Vibe Z2 Pro,Lenovo,2014/08,"Android 4.4 ""KitKat""",[220]
Lenovo Vibe Z2,Lenovo,2014/09,"Android 4.4 ""KitKat""",[221]
ZUK Z1,Lenovo,2015/08,"Android 5.0 ""Lollipop""",[222]
Lenovo Vibe P1,Lenovo,2015/09,"Android 5.0 ""Lollipop""",[223]
Lenovo Vibe K4 Note,Lenovo,2016/01,"Android 5.0 ""Lollipop""",[224]
Lenovo K5 Note,Lenovo,2016/01,"Android 5.0 ""Lollipop""",[225]
Lenovo Vibe P1 Turbo,Lenovo,2016/02,"Android 5.0 ""Lollipop""",[226]
Lenovo Vibe K5/Plus,Lenovo,2016/02,"Android 5.0 ""Lollipop""",[227][228]
ZUK Z2,Lenovo,2016/05,"Android 6.0 ""Marshmallow""",[229]
Lenovo Phab 2/Plus/Pro,Lenovo,2016/06,"Android 6.0 ""Marshmallow""",[230][231][232]
Lenovo K6/Power/Note,Lenovo,2016/09,"Android 6.0 ""Marshmallow""",[233][234][235]
Lenovo P2,Lenovo,2016/09,"Android 6.0 ""Marshmallow""",[236]
Lenovo Z2 Plus,Lenovo,2017/01,"Android 6.0 ""Marshmallow""",[237]
Lenovo Legion Pro/Duel,Lenovo,2020/07,Android 10,[238][239]
LG GW620,LG Electronics,2009/11,"Android 1.5 ""Cupcake""",[240]
LG Optimus Q,LG Electronics,2010/05,"Android 2.0 ""Eclair""",[241]
LG Optimus,LG Electronics,2010/06,"Android 1.6 ""Donut""",[242]
LG Optimus One,LG Electronics,2010/10,"Android 2.2 ""Froyo""",[243]
LG Optimus Chic,LG Electronics,2010/11,"Android 2.2 ""Froyo""",[244]
LG Optimus 2X,LG Electronics,2011/02,"Android 2.2 ""Froyo""",[245]
LG Optimus Black,LG Electronics,2011/05,"Android 2.2 ""Froyo""",[246]
LG Optimus 3D,LG Electronics,2011/07,"Android 2.2 ""Froyo""",[247]
LG Optimus Slider,LG Electronics,2011/10,"Android 2.3 ""Gingerbread""",[248]
LG Optimus LTE (LU6200),LG Electronics,2012/01,"Android 2.3 ""Gingerbread""",[249]
LG Optimus 4X HD,LG Electronics,2012/06,"Android 4.0 ""Ice Cream Sandwich""",[250]
LG Optimus LTE (SU640),LG Electronics,2012/08,"Android 2.3 ""Gingerbread""",[251]
LG Optimus L9,LG Electronics,2012/11,"Android 4.0 ""Ice Cream Sandwich""",[252]
LG Optimus Vu,LG Electronics,2012/11,"Android 4.0 ""Ice Cream Sandwich""",[253]
LG Optimus G,LG Electronics,2013/01,"Android 4.0 ""Ice Cream Sandwich""",[254]
LG G2,LG Electronics,2013/09,"Android 4.1 ""Jelly Bean""",[255]
LG G Flex,LG Electronics,2013/11,"Android 4.1 ""Jelly Bean""",[256]
LG G Pro Lite,LG Electronics,2013/11,"Android 4.1 ""Jelly Bean""",[257]
LG Gx,LG Electronics,2014/01,"Android 4.1 ""Jelly Bean""",[258]
LG G2 Mini,LG Electronics,2014/04,"Android 4.4 ""KitKat""",[259]
LG G Pro 2,LG Electronics,2014/04,"Android 4.4 ""KitKat""",[260]
LG G3,LG Electronics,2014/05,"Android 4.4 ""KitKat""",[261]
LG G3 Stylus,LG Electronics,2014/10,"Android 4.4 ""KitKat""",[262]
LG G Flex 2,LG Electronics,2015/02,"Android 5.0 ""Lollipop""",[263]
LG G4,LG Electronics,2015/04,"Android 5.0 ""Lollipop""",[264]
LG V10,LG Electronics,2015/10,"Android 5.0 ""Lollipop""",[265]
LG K10 (2016),LG Electronics,2016/01,"Android 5.0 ""Lollipop""",[266]
LG G5,LG Electronics,2016/04,"Android 6.0 ""Marshmallow""",[267]
LG V20,LG Electronics,2016/10,"Android 7.0 ""Nougat""",[268]
LG K10 (2017),LG Electronics,2017/02,"Android 7.0 ""Nougat""",[269]
LG G6,LG Electronics,2017/05,"Android 7.0 ""Nougat""",[270]
LG V30,LG Electronics,2017/10,"Android 7.0 ""Nougat""",[271]
LG G7 ThinQ,LG Electronics,2018/05,"Android 8.0 ""Oreo""",[272]
LG V35 ThinQ,LG Electronics,2018/06,"Android 8.0 ""Oreo""",[273]
LG K10 (2018),LG Electronics,2018/06,"Android 7.0 ""Nougat""",[274]
LG V40 ThinQ,LG Electronics,2018/10,"Android 8.0 ""Oreo""",[275]
LG G8 ThinQ,LG Electronics,2019/04,"Android 9.0 ""Pie""",[276]
LG V50 ThinQ,LG Electronics,2019/05,"Android 9.0 ""Pie""",[277]
LG V60 ThinQ,LG Electronics,2020/03,Android 10,[278]
LG Velvet,LG Electronics,2020/05,Android 10,[279]
LG Wing,LG Electronics,2020/09,Android 10,[280]

Model,Developer,Release date,Android version at release,Ref.
Meizu M9,Meizu,2011/01,"Android 2.2 ""Froyo""",[281]
Meizu MX,Meizu,2011/12,"Android 2.3 ""Gingerbread""",[282]
Meizu MX 4-core,Meizu,2012/06,"Android 4.0 ""Ice Cream Sandwich""",[283]
Meizu MX2,Meizu,2012/11,"Android 4.1 ""Jelly Bean""",[284]
Meizu MX3,Meizu,2013/09,"Android 4.1 ""Jelly Bean""",[285]
Meizu MX4,Meizu,2014/09,"Android 4.4 ""KitKat""",[286]
Meizu MX4 Pro,Meizu,2014/10,"Android 4.4 ""KitKat""",[287]
Meizu M1/1 Note,Meizu,2015/01,"Android 4.4 ""KitKat""",[288][289]
Meizu M2 Note,Meizu,2015/06,"Android 5.0 ""Lollipop""",[290]
Meizu MX5,Meizu,2015/06,"Android 5.0 ""Lollipop""",[291]
Meizu M2,Meizu,2015/07,"Android 5.0 ""Lollipop""",[290]
Meizu PRO 5,Meizu,2015/09,"Android 5.0 ""Lollipop""",[292]
Meizu M1 Metal,Meizu,2015/10,"Android 5.0 ""Lollipop""",[293]
Meizu MX5e,Meizu,2016/04,"Android 6.0 ""Marshmallow""",[294]
Meizu M3 Note,Meizu,2016/04,"Android 5.0 ""Lollipop""",[295]
Meizu PRO 6,Meizu,2016/04,"Android 6.0 ""Marshmallow""",[296]
Meizu M3,Meizu,2016/04,"Android 5.0 ""Lollipop""",[297]
Meizu M3s,Meizu,2016/06,"Android 5.0 ""Lollipop""",[298]
Meizu MX6,Meizu,2016/07,"Android 6.0 ""Marshmallow""",[299]
Meizu M3E,Meizu,2016/08,"Android 5.0 ""Lollipop""",[300]
Meizu U10/20,Meizu,2016/08,"Android 6.0 ""Marshmallow""",[301][302]
Meizu M3 Max,Meizu,2016/09,"Android 6.0 ""Marshmallow""",[303]
Meizu M5,Meizu,2016/10,"Android 6.0 ""Marshmallow""",[304]
Meizu PRO 6s,Meizu,2016/11,"Android 6.0 ""Marshmallow""",[305]
Meizu M3x,Meizu,2016/11,"Android 6.0 ""Marshmallow""",[306]
Meizu PRO 6 Plus,Meizu,2016/11,"Android 6.0 ""Marshmallow""",[307]
Meizu M5 Note,Meizu,2016/12,"Android 6.0 ""Marshmallow""",[308]
Meizu M5s,Meizu,2017/02,"Android 6.0 ""Marshmallow""",[309]
Meizu E2,Meizu,2017/04,"Android 7.0 ""Nougat""",[310]
Meizu M5c,Meizu,2017/05,"Android 6.0 ""Marshmallow""",[311]
Meizu PRO 7/Plus,Meizu,2017/07,"Android 7.0 ""Nougat""",[312][313]
Meizu M6 Note,Meizu,2017/08,"Android 7.0 ""Nougat""",[314]
Meizu M6,Meizu,2017/09,"Android 7.0 ""Nougat""",[315]
Meizu M6s,Meizu,2018/01,"Android 7.0 ""Nougat""",[316]
Meizu E3,Meizu,2018/03,"Android 7.0 ""Nougat""",[317]
Meizu 15/Pro/Lite,Meizu,2018/04,"Android 7.0 ""Nougat""",[318][319][320]
Meizu M8c,Meizu,2018/05,"Android 7.0 ""Nougat""",[321]
Meizu M6T,Meizu,2018/05,"Android 7.0 ""Nougat""",[322]
Meizu 16th/Plus,Meizu,2018/08,"Android 8.0 ""Oreo""",[323][324]
Meizu 16X,Meizu,2018/09,"Android 8.0 ""Oreo""",[325]
Meizu V8/Pro,Meizu,2018/09,"Android 8.0 ""Oreo""",[326][327]
Meizu X8,Meizu,2018/09,"Android 8.0 ""Oreo""",[328]
Meizu Note 8,Meizu,2018/10,"Android 8.0 ""Oreo""",[329]
Meizu C9/Pro,Meizu,2018/12,"Android 8.0 ""Oreo""",[330]
Meizu Note 9,Meizu,2019/03,"Android 9.0 ""Pie""",[331]
Meizu M10,Meizu,2019/09,"Android 9.0 ""Pie""",[332]
Meizu 16s,Meizu,2019/04,"Android 9.0 ""Pie""",[333]
Meizu 16Xs,Meizu,2019/05,"Android 9.0 ""Pie""",[334]
Meizu 16s Pro,Meizu,2019/08,"Android 9.0 ""Pie""",[335]
